Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SERP Features,Results,Updated
lamelo ball basketball cards,lamelo ball basketball cards​,T,0,"2,400",,n/a,n/a,8,0.28,0.08,,762K,Last week
basketball card boxes,basketball card boxes​,C,0,"1,000",,n/a,n/a,9,0.38,1.00,,36.6M,2 weeks
chris mullin basketball card,chris mullin basketball card​,T,0,"1,000",,n/a,n/a,6,0.00,0.02,,391K,1 month
shot tops,shot tops​,IC,0,"1,000",,n/a,n/a,8,0.00,0.03,,167M,1 month
شوت,شوت​,I,0,"1,000",,n/a,n/a,6,0.00,0.00,,8.2M,4 weeks
basketball hobby box,basketball hobby box​,C,0,880,,n/a,n/a,6,0.37,1.00,+2,n/a,1 month
cam reddish cards,cam reddish cards​,T,0,880,,n/a,n/a,7,0.00,0.00,,n/a,1 month
alonzo mourning basketball card,alonzo mourning basketball card​,T,0,720,,n/a,n/a,5,0.00,0.05,,231K,1 month
dominique wilkins basketball card,dominique wilkins basketball card​,IT,0,720,,n/a,n/a,7,0.12,0.09,,288K,3 weeks
james harden basketball card,james harden basketball card​,T,0,720,,n/a,n/a,8,0.30,0.10,,234,1 month
silhouette basketball,silhouette basketball​,I,0,720,,n/a,n/a,9,0.42,0.76,,n/a,1 month
basketball autograph cards,basketball autograph cards​,C,0,590,,n/a,n/a,8,0.60,1.00,,n/a,1 month
basketball cards stephen curry,basketball cards stephen curry​,T,0,590,,n/a,n/a,7,0.35,0.78,+3,n/a,1 month
charles barkley basketball card,charles barkley basketball card​,IT,0,590,,n/a,n/a,6,0.18,0.49,+2,247,1 month
larry bird nba hoops basketball card,larry bird nba hoops basketball card​,IC,0,590,,n/a,n/a,5,0.00,0.43,+2,219,1 month
michael jordan 1992 usa basketball team card,michael jordan 1992 usa basketball team card​,IC,0,590,,n/a,n/a,10,0.00,0.13,,n/a,1 month
nba basketball hobby box,nba basketball hobby box​,C,0,590,,n/a,n/a,5,0.43,1.00,,n/a,1 month
numbered basketball cards,numbered basketball cards​,C,0,590,,n/a,n/a,8,0.42,0.28,+2,227,1 month
stephen curry basketball cards,stephen curry basketball cards​,T,0,590,,n/a,n/a,9,0.35,0.78,+2,9.1M,3 weeks
grant hill basketball card,grant hill basketball card​,C,0,480,,n/a,n/a,6,0.06,0.07,,n/a,1 month
hakeem olajuwon basketball card,hakeem olajuwon basketball card​,T,0,480,,n/a,n/a,8,0.07,0.11,,365K,2 weeks
jerry west basketball card,jerry west basketball card​,C,0,480,,n/a,n/a,5,0.22,0.28,,n/a,1 month
larry bird basketball card value,larry bird basketball card value​,C,0,480,,n/a,n/a,7,0.24,0.22,+3,994K,1 month
monopoly panini prizm: 2024-25 nba basketball trading cards booster box,monopoly panini prizm: 2024-25 nba basketball trading cards booster box​,I,0,480,,n/a,n/a,5,0.83,1.00,+2,15K,3 weeks
nba graded cards,nba graded cards​,C,0,480,,n/a,n/a,8,0.73,0.11,,2.6M,3 weeks
panini prizm black basketball,panini prizm black basketball​,C,0,480,,n/a,n/a,10,0.52,1.00,+2,n/a,1 month
patrick ewing basketball card,patrick ewing basketball card​,IT,0,480,,n/a,n/a,6,0.21,0.51,,n/a,1 month
reggie miller basketball card,reggie miller basketball card​,T,0,480,,n/a,n/a,8,0.06,0.10,,245,1 month
reggie miller basketball cards,reggie miller basketball cards​,C,0,480,,n/a,n/a,7,0.06,0.10,+3,212,Last week
tim hardaway basketball card,tim hardaway basketball card​,T,0,480,,n/a,n/a,9,0.35,0.01,+2,288K,2 weeks
valuable basketball cards from the 90s,valuable basketball cards from the 90s​,C,0,480,,n/a,n/a,10,0.47,0.36,+2,1.2M,1 month
wilt chamberlain basketball card,wilt chamberlain basketball card​,IT,0,480,,n/a,n/a,6,0.15,0.88,,n/a,1 month
1978 topps basketball cards,1978 topps basketball cards​,C,0,390,,n/a,n/a,5,0.20,0.15,,n/a,1 month
1989 fleer basketball cards,1989 fleer basketball cards​,C,0,390,,n/a,n/a,8,0.18,0.91,+2,677K,1 month
2024-25 panini prizm basketball checklist,2024-25 panini prizm basketball checklist​,C,0,390,,n/a,n/a,2,0.00,0.34,,239K,4 weeks
all star basketball cards,all star basketball cards​,C,0,390,,n/a,n/a,9,0.00,0.07,,149M,4 weeks
basketball cases,basketball cases​,C,0,390,,n/a,n/a,6,0.59,1.00,,220M,2 weeks
clyde drexler basketball card,clyde drexler basketball card​,IT,0,390,,n/a,n/a,5,0.13,0.17,,205K,2 weeks
dell curry basketball card,dell curry basketball card​,T,0,390,,n/a,n/a,5,0.18,0.07,,555K,3 weeks
donruss panini basketball cards 2025 price guide,donruss panini basketball cards 2025 price guide​,T,0,390,,n/a,n/a,7,0.00,0.00,,2.2M,1 month
graded nba cards,graded nba cards​,C,0,390,,n/a,n/a,4,0.52,0.36,,2.6M,3 weeks
james worthy basketball card,james worthy basketball card​,IT,0,390,,n/a,n/a,5,0.00,0.05,,3.5M,2 weeks
kareem abdul jabbar basketball card,kareem abdul jabbar basketball card​,T,0,390,,n/a,n/a,5,0.22,0.57,,229,3 weeks
kyrie irving basketball card,kyrie irving basketball card​,C,0,390,,n/a,n/a,7,0.30,0.17,+2,222,4 weeks
shawn kemp basketball card,shawn kemp basketball card​,IT,0,390,,n/a,n/a,7,0.19,0.14,,411K,1 month
trae young basketball card,trae young basketball card​,T,0,390,,n/a,n/a,5,0.38,0.04,,n/a,1 month
1980 topps basketball cards,1980 topps basketball cards​,C,0,320,,n/a,n/a,7,0.14,0.99,+2,1M,2 weeks
1990 91 skybox basketball cards,1990 91 skybox basketball cards​,C,0,320,,n/a,n/a,7,0.26,0.51,+3,237K,1 month
2024/25 panini prizm black basketball hobby box,2024/25 panini prizm black basketball hobby box​,I,0,320,,n/a,n/a,5,1.98,1.00,+3,431K,1 month
92 93 fleer ultra basketball cards,92 93 fleer ultra basketball cards​,C,0,320,,n/a,n/a,4,0.48,0.25,+2,n/a,1 month
anfernee hardaway basketball cards,anfernee hardaway basketball cards​,C,0,320,,n/a,n/a,7,0.07,0.12,+3,186K,Last week
basketball card shaquille o'neal,basketball card shaquille o'neal​,T,0,320,,n/a,n/a,10,0.14,0.75,,1.5M,1 month
chris webber basketball cards,chris webber basketball cards​,T,0,320,,n/a,n/a,6,0.00,0.14,,423K,2 weeks
custom basketball cards,custom basketball cards​,C,0,320,,n/a,n/a,1,0.58,1.00,,54.3M,1 month
gary payton basketball card,gary payton basketball card​,IT,0,320,,n/a,n/a,7,0.00,0.08,+2,472K,1 month
hobby box nba,hobby box nba​,C,0,320,,n/a,n/a,9,0.43,1.00,,n/a,1 month
isiah thomas usa basketball card,isiah thomas usa basketball card​,IC,0,320,,n/a,n/a,5,0.00,0.00,,248,3 weeks
julius erving basketball card,julius erving basketball card​,IT,0,320,,n/a,n/a,5,0.08,0.41,,217,2 weeks
kevin durant basketball card,kevin durant basketball card​,IT,0,320,,n/a,n/a,5,0.30,0.71,+2,3.4M,1 month
panini downtown cards,panini downtown cards​,C,0,320,,n/a,n/a,10,0.49,0.96,,n/a,1 month
pete maravich basketball card,pete maravich basketball card​,IT,0,320,,n/a,n/a,9,0.11,0.65,+2,128K,Last week
shaq basketball cards worth,shaq basketball cards worth​,IT,0,320,,n/a,n/a,5,0.32,0.07,+2,n/a,1 month
shaquille o neal basketball cards,shaquille o neal basketball cards​,IT,0,320,,n/a,n/a,9,0.14,0.75,,n/a,1 month
shaquille o'neal basketball card value,shaquille o'neal basketball card value​,IC,0,320,,n/a,n/a,9,0.33,0.27,,529K,1 month
tim duncan basketball card,tim duncan basketball card​,IT,0,320,,n/a,n/a,6,0.26,0.19,+2,n/a,1 month
tyler herro basketball card,tyler herro basketball card​,T,0,320,,n/a,n/a,4,0.00,0.10,,n/a,1 month
yao ming basketball card,yao ming basketball card​,IC,0,320,,n/a,n/a,6,0.05,0.09,,n/a,1 month
1987 fleer basketball cards,1987 fleer basketball cards​,C,0,260,,n/a,n/a,5,0.27,0.96,+2,n/a,1 month
2024-25 panini court kings basketball hobby box,2024-25 panini court kings basketball hobby box​,IT,0,260,,n/a,n/a,7,2.80,1.00,,86K,1 month
2025 basketball cards,2025 basketball cards​,C,0,260,,n/a,n/a,10,0.50,1.00,+2,101M,1 month
basketball cards clearance,basketball cards clearance​,C,0,260,,n/a,n/a,9,0.00,0.00,,196,1 month
basketball prizm,basketball prizm​,C,0,260,,n/a,n/a,8,0.60,1.00,,n/a,1 month
bill russell basketball card,bill russell basketball card​,T,0,260,,n/a,n/a,7,0.25,0.56,,4.6M,4 weeks
bill walton basketball cards,bill walton basketball cards​,T,0,260,,n/a,n/a,5,0.20,0.21,,n/a,1 month
contenders hobby box,contenders hobby box​,IT,0,260,,n/a,n/a,7,0.50,1.00,+2,971K,3 weeks
dennis rodman basketball cards,dennis rodman basketball cards​,T,0,260,,n/a,n/a,7,0.24,0.81,+2,244,1 month
dwyane wade basketball card,dwyane wade basketball card​,IT,0,260,,n/a,n/a,5,0.25,0.10,,n/a,1 month
flawless basketball cards,flawless basketball cards​,T,0,260,,n/a,n/a,8,0.38,1.00,+2,n/a,1 month
fleer ultra basketball cards 92 93,fleer ultra basketball cards 92 93​,C,0,260,,n/a,n/a,9,0.48,0.25,+2,227,1 month
jason kidd basketball card,jason kidd basketball card​,C,0,260,,n/a,n/a,7,0.53,0.14,+2,497K,1 month
jason williams basketball card,jason williams basketball card​,T,0,260,,n/a,n/a,5,0.11,0.09,,n/a,1 month
john stockton basketball card value,john stockton basketball card value​,IC,0,260,,n/a,n/a,5,0.21,0.03,+2,n/a,1 month
kevin garnett basketball card,kevin garnett basketball card​,IT,0,260,,n/a,n/a,5,0.16,0.12,+2,n/a,1 month
larry bird basketball card worth,larry bird basketball card worth​,IC,0,260,,n/a,n/a,4,0.29,0.27,,1.4M,1 month
larry johnson basketball card,larry johnson basketball card​,IT,0,260,,n/a,n/a,8,0.13,0.09,,n/a,1 month
magic johnson basketball card value,magic johnson basketball card value​,IC,0,260,,n/a,n/a,4,0.38,0.19,+2,2.4M,3 weeks
mark price basketball card,mark price basketball card​,T,0,260,,n/a,n/a,7,0.00,0.05,,31.4M,1 month
nba boxs,nba boxs​,C,0,260,,n/a,n/a,6,0.47,0.26,,38.9M,1 month
panini select basketball 24-25,panini select basketball 24-25​,IC,0,260,,n/a,n/a,6,0.57,1.00,+2,376K,1 month
reggie lewis basketball card,reggie lewis basketball card​,IC,0,260,,n/a,n/a,7,0.11,0.02,,509K,1 month
stephen curry autographed basketball card,stephen curry autographed basketball card​,C,0,260,,n/a,n/a,5,0.50,1.00,,185,1 month
upper deck usa basketball cards 1996,upper deck usa basketball cards 1996​,C,0,260,,n/a,n/a,4,0.00,0.01,+2,n/a,1 month
1969 topps basketball cards,1969 topps basketball cards​,C,0,210,,n/a,n/a,6,0.09,0.72,,479K,2 weeks
1992 topps basketball cards,1992 topps basketball cards​,C,0,210,,n/a,n/a,9,0.00,0.42,+2,779K,Last week
1992 upper deck basketball cards,1992 upper deck basketball cards​,C,0,210,,n/a,n/a,7,0.00,0.77,,905K,2 weeks
94 95 fleer ultra basketball cards,94 95 fleer ultra basketball cards​,T,0,210,,n/a,n/a,8,0.00,0.12,+2,214K,3 weeks
antique basketball cards,antique basketball cards​,C,0,210,,n/a,n/a,10,0.42,0.95,+2,209,1 month
