Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SERP Features,Results,Updated
op10 card list,op10 card list​,IT,0,"2,900",,n/a,n/a,10,0.42,0.10,,1.2M,2 weeks
one piece card sleeves,one piece card sleeves​,C,0,"1,300",,n/a,n/a,9,0.29,1.00,+2,30.3M,1 month
one piece royal blood card list,one piece royal blood card list​,IT,0,"1,300",,n/a,n/a,8,0.20,0.39,,18.9M,3 weeks
op09 card list,op09 card list​,IT,0,"1,300",,n/a,n/a,9,0.53,0.16,,142,1 month
one piece card game premium card collection -best selection vol.4-,one piece card game premium card collection -best selection vol.4-​,C,0,"1,000",,n/a,n/a,7,0.00,0.00,,285K,4 weeks
one piece tcg meta,one piece tcg meta​,C,0,"1,000",,n/a,n/a,10,0.00,0.03,,4.8M,4 weeks
manga roronoa zoro vs premium box,manga roronoa zoro vs premium box​,C,0,880,,n/a,n/a,10,0.00,0.00,,373K,1 month
op08 card list,op08 card list​,IT,0,880,,n/a,n/a,9,0.88,0.09,,141,1 month
bandai one piece,bandai one piece​,I,0,720,,n/a,n/a,8,0.22,0.96,,19.2M,1 month
best cards for new one piece tcg,best cards for new one piece tcg​,I,0,720,,n/a,n/a,9,0.00,0.00,,28.7M,1 month
one piece booster box english,one piece booster box english​,C,0,720,,n/a,n/a,6,0.38,1.00,,225,1 month
one piece two legends card list,one piece two legends card list​,IT,0,720,,n/a,n/a,5,0.18,0.45,,41.5M,1 month
op-12 card list,op-12 card list​,IT,0,720,,n/a,n/a,9,3.05,0.07,,747M,1 month
a fist of divine speed card list,a fist of divine speed card list​,IT,0,590,,n/a,n/a,8,0.28,0.39,,3.3M,1 month
one piece legacy of the master card list,one piece legacy of the master card list​,I,0,590,,n/a,n/a,10,0.17,0.31,,37.3M,Last week
optc database,optc database​,N,0,590,,n/a,n/a,10,0.00,0.00,,n/a,1 month
premium booster -one piece card the best vol.2- [prb-02],premium booster -one piece card the best vol.2- [prb-02]​,C,0,590,,n/a,n/a,0,0.00,0.82,,3.1K,2 weeks
royal blood one piece card list,royal blood one piece card list​,IT,0,590,,n/a,n/a,7,0.07,0.40,,22.8M,1 month
wisdom of sea and sky card list,wisdom of sea and sky card list​,I,0,590,,n/a,n/a,8,0.00,0.01,,8.3M,3 weeks
eb-02 card list,eb-02 card list​,I,0,480,,n/a,n/a,9,0.00,0.06,,35.5M,1 month
rarest one piece cards,rarest one piece cards​,C,0,480,,n/a,n/a,10,0.03,0.95,+3,55.6M,1 month
carddass one piece,carddass one piece​,C,0,390,,n/a,n/a,10,0.51,0.38,+2,1M,1 month
eb 02 card list,eb 02 card list​,IC,0,390,,n/a,n/a,4,0.00,0.08,,22M,1 month
new trading card games,new trading card games​,I,0,390,,n/a,n/a,4,0.95,0.82,+3,355M,1 month
one piece box purchase,one piece box purchase​,T,0,390,,n/a,n/a,5,0.00,0.00,,773M,Last week
one piece card the best vol.2,one piece card the best vol.2​,C,0,390,,n/a,n/a,5,0.17,0.92,,134,2 weeks
one piece eb02 card list,one piece eb02 card list​,IT,0,390,,n/a,n/a,9,0.00,0.55,,134,1 month
one piece op13 card list,one piece op13 card list​,I,0,390,,n/a,n/a,9,0.18,0.32,,n/a,1 month
one piece royal blood chase cards,one piece royal blood chase cards​,I,0,390,,n/a,n/a,7,0.02,0.51,+2,2.6M,1 month
one piece tcg random leader picker,one piece tcg random leader picker​,I,0,390,,n/a,n/a,5,0.00,0.00,,88,1 month
op 09 card list,op 09 card list​,C,0,390,,n/a,n/a,7,0.00,0.15,,139,1 month
all one piece card game specials,all one piece card game specials​,C,0,320,,n/a,n/a,7,0.00,0.00,+2,160,1 month
eggman one piece,eggman one piece​,N,0,320,,n/a,n/a,9,0.00,0.00,,1.6M,2 weeks
emperors in the new world card list,emperors in the new world card list​,I,0,320,,n/a,n/a,10,0.15,0.39,,5.9M,3 weeks
expensive one piece cards,expensive one piece cards​,C,0,320,,n/a,n/a,5,0.03,0.97,+2,n/a,1 month
fist of divine speed card list,fist of divine speed card list​,IT,0,320,,n/a,n/a,10,0.27,0.29,+2,2.5M,1 month
one piece op10 card list,one piece op10 card list​,I,0,320,,n/a,n/a,7,0.00,0.38,,817K,2 weeks
one piece the best vol 2 card list,one piece the best vol 2 card list​,C,0,320,,n/a,n/a,6,0.22,0.35,,85.2M,1 month
op 08 card list,op 08 card list​,IT,0,320,,n/a,n/a,8,1.71,0.09,,195M,1 month
