Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SERP Features,Results,Updated
football card boxes,football card boxes​,C,0,"2,900",,n/a,n/a,9,0.41,1.00,+2,58.3M,2 weeks
marcus mariota football card,marcus mariota football card​,IT,0,"2,400",,n/a,n/a,7,0.27,0.01,,183K,Last week
tj watt football card,tj watt football card​,T,0,"2,400",,n/a,n/a,10,0.48,0.09,+2,580K,Last week
art monk football card,art monk football card​,I,0,"1,300",,n/a,n/a,9,0.23,0.01,+2,6.2M,2 weeks
drew bledsoe football card,drew bledsoe football card​,IT,0,"1,300",,n/a,n/a,6,0.11,0.02,,316K,1 month
justin fields football card,justin fields football card​,IC,0,"1,300",,n/a,n/a,6,0.00,0.02,,228,1 month
taysom hill football card,taysom hill football card​,T,0,"1,300",,n/a,n/a,6,0.27,0.02,,105K,1 month
trace mcsorley football card,trace mcsorley football card​,C,0,"1,300",,n/a,n/a,6,0.00,0.00,,79K,4 weeks
joe montana football card,joe montana football card​,IC,0,"1,000",,n/a,n/a,8,0.19,0.95,+3,5.7M,2 weeks
oj simpson football card,oj simpson football card​,IC,0,"1,000",,n/a,n/a,6,0.10,0.89,,791K,1 month
wild card dino might football,wild card dino might football​,C,0,"1,000",,n/a,n/a,6,0.00,0.00,,1.1M,1 month
alvin kamara football card,alvin kamara football card​,T,0,880,,n/a,n/a,6,0.10,0.02,,241K,3 weeks
bo jackson football rookie card,bo jackson football rookie card​,C,0,880,,n/a,n/a,9,0.20,0.95,,1.2M,4 weeks
eli manning football card,eli manning football card​,IT,0,880,,n/a,n/a,6,0.22,0.16,+2,n/a,1 month
steve young football card,steve young football card​,IT,0,880,,n/a,n/a,6,0.19,0.07,,46M,4 weeks
terry bradshaw football card,terry bradshaw football card​,IC,0,880,,n/a,n/a,8,0.15,0.45,,741K,3 weeks
troy aikman football card,troy aikman football card​,IT,0,880,,n/a,n/a,6,0.18,0.19,,450K,1 month
joe montana football card value,joe montana football card value​,C,0,720,,n/a,n/a,5,0.31,0.53,,n/a,1 month
joe namath football card,joe namath football card​,IC,0,720,,n/a,n/a,6,0.13,0.73,,393K,1 month
john elway football card,john elway football card​,IT,0,720,,n/a,n/a,6,0.13,0.31,,225,1 month
michael irvin football card,michael irvin football card​,IT,0,720,,n/a,n/a,8,0.05,0.10,,829K,3 weeks
patrick mahomes football card,patrick mahomes football card​,IC,0,720,,n/a,n/a,7,0.28,0.92,+2,212,2 weeks
phillip lindsay football card,phillip lindsay football card​,T,0,720,,n/a,n/a,6,0.00,0.00,,1.3M,3 weeks
reggie white football card,reggie white football card​,IT,0,720,,n/a,n/a,6,0.17,0.22,,n/a,1 month
tyreek hill football card,tyreek hill football card​,C,0,720,,n/a,n/a,6,0.38,0.15,,1M,1 month
bart starr football card,bart starr football card​,IC,0,590,,n/a,n/a,6,0.10,0.65,,n/a,1 month
derrick thomas football card,derrick thomas football card​,IC,0,590,,n/a,n/a,5,0.12,0.22,,1.6M,3 weeks
football play card,football play card​,I,0,590,,n/a,n/a,4,0.44,0.38,+3,n/a,1 month
jalen ramsey football card,jalen ramsey football card​,IT,0,590,,n/a,n/a,5,0.00,0.00,,172,1 month
jim kelly football card,jim kelly football card​,T,0,590,,n/a,n/a,6,0.13,0.18,,n/a,1 month
lawrence taylor football card,lawrence taylor football card​,IT,0,590,,n/a,n/a,8,0.31,0.32,,6.4M,3 weeks
matthew stafford football card,matthew stafford football card​,T,0,590,,n/a,n/a,6,0.24,0.15,,n/a,1 month
randy moss football card,randy moss football card​,IC,0,590,,n/a,n/a,8,0.17,0.22,+2,1M,1 month
steve young football card value,steve young football card value​,IT,0,590,,n/a,n/a,5,0.32,0.00,,194,1 month
warren moon football card value,warren moon football card value​,IT,0,590,,n/a,n/a,8,0.00,0.00,+2,1.2M,1 month
archie manning football card,archie manning football card​,IC,0,480,,n/a,n/a,5,0.20,0.75,,199,2 weeks
brett favre football card,brett favre football card​,T,0,480,,n/a,n/a,5,0.15,0.36,,n/a,1 month
cam newton football card,cam newton football card​,T,0,480,,n/a,n/a,5,0.31,0.08,+2,n/a,1 month
carson wentz football card,carson wentz football card​,T,0,480,,n/a,n/a,5,0.00,0.00,,314K,3 weeks
cheap football cards single card,cheap football cards single card​,C,0,480,,n/a,n/a,10,0.00,0.00,,231,1 month
dan fouts football card,dan fouts football card​,IT,0,480,,n/a,n/a,5,0.02,0.15,,148K,1 month
deshaun watson football card,deshaun watson football card​,T,0,480,,n/a,n/a,6,0.00,0.02,,n/a,1 month
jim mcmahon football card,jim mcmahon football card​,C,0,480,,n/a,n/a,8,0.00,0.16,,458K,1 month
john unitas football card,john unitas football card​,IC,0,480,,n/a,n/a,8,0.14,0.34,,n/a,1 month
johnny unitas football card,johnny unitas football card​,IT,0,480,,n/a,n/a,9,0.10,0.92,,n/a,1 month
