Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SERP Features,Results,Updated
char lego,char lego​,IC,0,"4,400",,n/a,n/a,9,0.34,0.72,,6.9M,2 weeks
lego piece 2550c01,lego piece 2550c01​,I,0,"4,400",,n/a,n/a,10,0.00,0.00,+4,161,Last week
lego candy,lego candy​,IT,0,"2,400",,n/a,n/a,4,0.31,0.85,+2,61.5M,2 weeks
lego minifigure display case,lego minifigure display case​,C,0,"2,400",,n/a,n/a,9,0.42,1.00,,1.9M,2 weeks
lego 6360206,lego 6360206​,I,0,"1,900",,n/a,n/a,6,0.00,0.00,,n/a,1 month
lego arch,lego arch​,IC,0,"1,900",,n/a,n/a,10,0.28,1.00,+3,21.5M,2 weeks
lego hidden headlamp,lego hidden headlamp​,I,0,"1,900",,n/a,n/a,4,0.00,0.00,,143K,1 month
mike wheeler lego minifigure fortnite,mike wheeler lego minifigure fortnite​,IT,0,"1,900",,n/a,n/a,4,0.00,0.00,,n/a,1 month
lego reddish brown oar,lego reddish brown oar​,C,0,"1,600",,n/a,n/a,9,0.00,0.00,,n/a,1 month
blue lego cap,blue lego cap​,IC,0,"1,300",,n/a,n/a,3,0.00,0.00,,n/a,1 month
lego army men,lego army men​,C,0,"1,300",,n/a,n/a,3,0.42,0.98,+2,223,2 weeks
lego batman 3 codes ps3,lego batman 3 codes ps3​,I,0,"1,300",,n/a,n/a,8,0.00,0.00,+2,n/a,1 month
lego general grievous minifigure,lego general grievous minifigure​,IC,0,"1,300",,n/a,n/a,10,0.28,0.99,+2,332K,1 month
32557 lego,32557 lego​,IC,0,"1,000",,n/a,n/a,5,3.84,0.01,+3,163K,1 month
lego asian heads,lego asian heads​,C,0,"1,000",,n/a,n/a,8,0.00,0.00,,182,1 month
lego figure display box,lego figure display box​,IT,0,"1,000",,n/a,n/a,1,0.42,1.00,,18.6M,1 month
lego gummies,lego gummies​,C,0,"1,000",,n/a,n/a,3,0.31,0.87,+2,n/a,1 month
lego marine corps,lego marine corps​,IC,0,"1,000",,n/a,n/a,9,0.38,0.96,+3,2.1M,4 weeks
lego minifigure display,lego minifigure display​,C,0,"1,000",,n/a,n/a,4,0.40,1.00,,6M,1 month
lego otto octavius,lego otto octavius​,I,0,"1,000",,n/a,n/a,7,0.45,0.93,+2,211,3 weeks
lego price per piece calculator,lego price per piece calculator​,N,0,"1,000",,n/a,n/a,8,0.00,0.00,,151,1 month
lego world war 2 tanks,lego world war 2 tanks​,I,0,"1,000",,n/a,n/a,2,0.36,0.97,+3,2.9M,1 month
naruto lego set,naruto lego set​,C,0,"1,000",,n/a,n/a,10,0.24,0.91,+2,204,1 month
lego army sets,lego army sets​,IT,0,880,,n/a,n/a,8,0.39,0.95,+2,12M,1 month
lego at at display,lego at at display​,I,0,880,,n/a,n/a,5,0.38,1.00,+3,185M,1 month
lego colouring pages ninjago,lego colouring pages ninjago​,I,0,880,,n/a,n/a,10,0.00,0.00,+2,235,1 month
lego mini fig case,lego mini fig case​,C,0,880,,n/a,n/a,8,0.40,0.63,,n/a,1 month
lego ninjago coloring pages,lego ninjago coloring pages​,I,0,880,,n/a,n/a,10,0.00,0.00,,n/a,1 month
lego polybags,lego polybags​,C,0,880,,n/a,n/a,5,0.41,1.00,,1.3M,1 month
lego star wars coloring pages,lego star wars coloring pages​,C,0,880,,n/a,n/a,9,0.00,0.02,,12.1M,1 month
lego wall mount,lego wall mount​,C,0,880,,n/a,n/a,0,0.36,1.00,+2,19.1M,1 month
lego ww2 tanks,lego ww2 tanks​,C,0,880,,n/a,n/a,4,0.36,0.97,+2,836K,3 weeks
most rare lego minifigures,most rare lego minifigures​,C,0,880,,n/a,n/a,10,0.26,0.45,,1.5M,1 month
ads for lego,ads for lego​,I,0,720,,n/a,n/a,10,2.43,0.01,+3,343M,2 weeks
b2 bomber lego,b2 bomber lego​,I,0,720,,n/a,n/a,5,0.24,0.92,+2,363K,3 weeks
case of lego minifigures,case of lego minifigures​,C,0,720,,n/a,n/a,1,0.40,0.63,,n/a,1 month
custom lego clone troopers,custom lego clone troopers​,C,0,720,,n/a,n/a,9,0.24,0.76,,169,1 month
