Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
crypto prices,crypto prices​,I,0,60.5K,,n/a,n/a,87,0.94,0.06,4,135,2 weeks
cryptocurrency prices,cryptocurrency prices​,I,0,27.1K,,n/a,n/a,89,0.94,0.06,4,232M,2 weeks
crypto exchange,crypto exchange​,I,0,22.2K,,n/a,n/a,100,6.56,0.04,7,248M,Last week
crypto.com,crypto.com​,N,0,22.2K,,n/a,n/a,100,6.72,0.51,4,628M,2 weeks
cryptocurrency trading,cryptocurrency trading​,IC,0,18.1K,,n/a,n/a,93,5.25,0.47,7,300M,2 weeks
crypto exchanges,crypto exchanges​,IC,0,14.8K,,n/a,n/a,100,6.56,0.04,5,255,2 weeks
cryptocurrency exchange,cryptocurrency exchange​,IC,0,14.8K,,n/a,n/a,100,6.56,0.04,7,274M,Last week
crypto price,crypto price​,I,0,12.1K,,n/a,n/a,88,0.94,0.06,5,1.2B,2 weeks
cryptocurrency exchanges,cryptocurrency exchanges​,IC,0,12.1K,,n/a,n/a,100,6.56,0.04,6,232,Last week
cryptocurrency to cryptocurrency exchange,cryptocurrency to cryptocurrency exchange​,IC,0,9.9K,,n/a,n/a,100,6.56,0.04,4,125M,2 weeks
best crypto,best crypto​,C,0,8.1K,,n/a,n/a,90,3.07,0.54,6,602M,2 weeks
crypto prices today,crypto prices today​,N,0,8.1K,,n/a,n/a,85,0.62,0.08,4,124,2 weeks
best crypto exchange,best crypto exchange​,C,0,6.6K,,n/a,n/a,94,10.05,0.47,5,202M,Last week
bitcoin scan,bitcoin scan​,I,0,6.6K,,n/a,n/a,84,0.00,0.00,2,122,2 weeks
coin price,coin price​,I,0,6.6K,,n/a,n/a,97,0.71,0.21,4,136,Last week
coinbase crypto exchanges,coinbase crypto exchanges​,NT,0,6.6K,,n/a,n/a,92,5.52,0.00,4,159,Last week
crypto trading,crypto trading​,I,0,6.6K,,n/a,n/a,95,5.25,0.47,6,294M,2 weeks
bitcoin exchange,bitcoin exchange​,I,0,5.4K,,n/a,n/a,100,0.00,0.00,5,115M,Last week
crypto trading platform,crypto trading platform​,IC,0,5.4K,,n/a,n/a,99,9.39,0.20,6,128M,Last week
cryptocompare,cryptocompare​,N,0,5.4K,,n/a,n/a,45,0.00,0.00,5,643K,2 weeks
cryptocurrency price,cryptocurrency price​,N,0,5.4K,,n/a,n/a,84,0.94,0.06,4,1.1B,2 weeks
www.cryptocoin.com,www.cryptocoin.com​,I,0,5.4K,,n/a,n/a,96,5.88,0.67,7,330M,2 weeks
best crypto trading platform,best crypto trading platform​,C,0,4.4K,,n/a,n/a,94,10.40,0.60,5,113M,2 weeks
bitcoin trading,bitcoin trading​,I,0,4.4K,,n/a,n/a,98,4.62,0.50,6,276M,2 weeks
crypto.com exchange,crypto.com exchange​,N,0,4.4K,,n/a,n/a,67,4.27,0.26,3,267M,2 weeks
