Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SERP Features,Results,Updated
the resident,the resident​,IT,0,"201,000",,n/a,n/a,75,1.21,0.00,+3,108,Last week
resident,resident​,I,0,"22,200",,n/a,n/a,83,2.59,0.02,+3,1.1B,Last week
luxuria,luxuria​,I,0,"2,900",,n/a,n/a,53,0.62,0.01,+2,6.9M,Last week
lifestyle luxury brands,lifestyle luxury brands​,I,0,"1,900",,n/a,n/a,39,1.73,0.10,,303M,Last week
new york lifestyles,new york lifestyles​,N,0,"1,900",,n/a,n/a,21,3.48,0.14,,956M,2 weeks
luxury lifestyle,luxury lifestyle​,IN,0,"1,600",,n/a,n/a,55,0.00,0.01,+3,121,1 month
lifestyle magazines,lifestyle magazines​,I,0,"1,300",,n/a,n/a,25,1.55,0.16,,185M,1 month
lux magazine,lux magazine​,N,0,"1,300",,n/a,n/a,33,1.46,0.32,,80.6M,2 weeks
lifestyle luxury hotel,lifestyle luxury hotel​,I,0,880,,n/a,n/a,21,0.96,0.00,+3,128M,4 weeks
luxurious life,luxurious life​,I,0,880,,n/a,n/a,29,1.35,0.38,,154,1 month
luxury life,luxury life​,NT,0,880,,n/a,n/a,55,1.35,0.38,+2,1.1B,2 weeks
luxury magazine,luxury magazine​,I,0,880,,n/a,n/a,68,1.46,0.32,,487M,3 weeks
luxury lifestyle magazine,luxury lifestyle magazine​,I,0,720,,n/a,n/a,20,1.99,0.10,,n/a,1 month
lifestyle and luxury,lifestyle and luxury​,I,0,590,,n/a,n/a,26,0.00,0.01,,n/a,1 month
the cultureur a luxury travel and lifestyle blog,the cultureur a luxury travel and lifestyle blog​,IN,0,590,,n/a,n/a,0,0.00,0.00,,n/a,1 month
theresident,theresident​,IT,0,590,,n/a,n/a,71,1.21,0.00,,n/a,1 month
lux lifestyle magazine,lux lifestyle magazine​,I,0,480,,n/a,n/a,25,1.99,0.10,,9.8M,1 month
luxury lifestyle mag,luxury lifestyle mag​,I,0,480,,n/a,n/a,57,1.99,0.10,,172,Last week
luxury magazines,luxury magazines​,I,0,480,,n/a,n/a,28,1.46,0.32,,207,1 month
lux life,lux life​,C,0,390,,n/a,n/a,30,0.00,0.00,,n/a,1 month
lux lifestyle,lux lifestyle​,IT,0,390,,n/a,n/a,27,0.00,0.01,,74.4M,1 month
lux lives,lux lives​,I,0,390,,n/a,n/a,30,0.00,0.00,,n/a,1 month
luxurious lifestyle,luxurious lifestyle​,I,0,390,,n/a,n/a,39,0.00,0.01,+3,105M,3 weeks
luxury lifestyle brands,luxury lifestyle brands​,I,0,390,,n/a,n/a,40,1.73,0.10,,132,1 month
luxury and lifestyle,luxury and lifestyle​,I,0,320,,n/a,n/a,36,0.00,0.01,,538M,1 month
luxury ev lifestyle,luxury ev lifestyle​,IC,0,320,,n/a,n/a,31,0.00,0.00,+2,55.7M,1 month
luxury images,luxury images​,IC,0,320,,n/a,n/a,24,1.56,0.45,,1.3B,4 weeks
luxury lifestyle hotels,luxury lifestyle hotels​,I,0,320,,n/a,n/a,75,0.96,0.00,,87.4M,1 month
resdint,resdint​,I,0,320,,n/a,n/a,82,2.59,0.02,,n/a,1 month
resedent,resedent​,I,0,320,,n/a,n/a,80,2.59,0.02,,148,1 month
resident nyc,resident nyc​,IT,0,320,,n/a,n/a,37,1.73,0.03,,n/a,1 month
luxelife,luxelife​,I,0,260,,n/a,n/a,28,1.87,0.07,,826K,1 month
luxlife,luxlife​,I,0,260,,n/a,n/a,31,0.00,0.01,,n/a,1 month
luxury lifestile,luxury lifestile​,I,0,260,,n/a,n/a,50,0.00,0.01,+3,120,1 month
mister lewis' luxury lifestyle,mister lewis' luxury lifestyle​,I,0,260,,n/a,n/a,22,0.00,0.33,,n/a,1 month
resident magazine,resident magazine​,N,0,260,,n/a,n/a,33,0.00,0.00,,n/a,1 month
lavish lifestyle meaning,lavish lifestyle meaning​,I,0,210,,n/a,n/a,20,0.00,0.00,,103,1 month
lifestyle pics,lifestyle pics​,I,0,210,,n/a,n/a,31,2.08,0.05,,520M,4 weeks
luxury life style,luxury life style​,I,0,210,,n/a,n/a,35,0.00,0.01,+2,n/a,1 month
luxury lifestyle fashion,luxury lifestyle fashion​,C,0,210,,n/a,n/a,13,0.00,0.00,+2,221,1 month
luxw,luxw​,I,0,210,,n/a,n/a,55,1.44,0.78,,n/a,1 month
resideny,resideny​,I,0,210,,n/a,n/a,76,2.59,0.02,,1.1B,Last week
luxiria,luxiria​,IC,0,170,,n/a,n/a,46,0.62,0.01,,8M,1 month
