url,reason,live_status_code,live_location,decision
https://bitcoininfonews.com/179-million-crypto-contracts-liquidated-24-hours-longs-shorts-hit/,Closest winner still weak: https://bitcoininfonews.com/179-million-crypto-liquidations-24-hours/,404,,keep_404
https://bitcoininfonews.com/179-million-crypto-contracts-liquidated-24-hours/,Closest winner still weak: https://bitcoininfonews.com/179-million-crypto-liquidations-24-hours/,404,,keep_404
https://bitcoininfonews.com/183-million-crypto-liquidations-one-hour-longs-biggest-hit/,Closest winner still weak: https://bitcoininfonews.com/183-million-crypto-liquidations-one-hour-long-positions/,404,,keep_404
https://bitcoininfonews.com/193-million-in-crypto-liquidations-hit-in-24-hours-as-shorts-get-squeezed/,Closest winner still weak: https://bitcoininfonews.com/193-million-crypto-liquidations-24-hours-short-positions/,404,,keep_404
https://bitcoininfonews.com/3-token-unlocks-late-march-2026-zro-h-gunz-schedules/,Closest winner still weak: https://bitcoininfonews.com/token-unlocks-march-2026-zro-humanity-protocol-gunz/,404,,keep_404
https://bitcoininfonews.com/3-token-unlocks-late-march-2026-zro-h-gunz/,Closest winner still weak: https://bitcoininfonews.com/token-unlocks-march-2026-zro-humanity-protocol-gunz/,404,,keep_404
https://bitcoininfonews.com/631-million-crypto-contracts-liquidated-24-hours/,Closest winner still weak: https://bitcoininfonews.com/631-million-crypto-liquidations-24-hours/,404,,keep_404
https://bitcoininfonews.com/631-million-in-crypto-contracts-liquidated-in-24-hours/,Closest winner still weak: https://bitcoininfonews.com/631-million-crypto-liquidations-24-hours/,404,,keep_404
https://bitcoininfonews.com/73m-crypto-liquidations-hit-markets-24-hours-longs-absorb-losses/,Closest winner still weak: https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/,404,,keep_404
https://bitcoininfonews.com/73m-crypto-liquidations-hit-markets-24-hours/,Closest winner still weak: https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/,404,,keep_404
https://bitcoininfonews.com/73m-in-crypto-liquidations-hit-markets-in-24-hours-longs-absorb-most-losses/,Closest winner still weak: https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/,404,,keep_404
https://bitcoininfonews.com/?p=34903,Closest winner still weak: https://bitcoininfonews.com/s-p-500-recovers-5600-swing/,404,,keep_404
