source_404_url,broken_slug,live_status_code,live_location,redirect_by,suggested_target_url,score,coverage,jaccard,sequence_ratio,decision,note
https://bitcoininfonews.com/179-million-crypto-contracts-liquidated-24-hours-longs-shorts-hit/,179-million-crypto-contracts-liquidated-24-hours-longs-shorts-hit,404,,,https://bitcoininfonews.com/179-million-crypto-liquidations-24-hours/,0.524,0.500,0.455,0.686,keep_404,Closest winner still weak: https://bitcoininfonews.com/179-million-crypto-liquidations-24-hours/
https://bitcoininfonews.com/179-million-crypto-contracts-liquidated-24-hours/,179-million-crypto-contracts-liquidated-24-hours,404,,,https://bitcoininfonews.com/179-million-crypto-liquidations-24-hours/,0.708,0.714,0.625,0.818,keep_404,Closest winner still weak: https://bitcoininfonews.com/179-million-crypto-liquidations-24-hours/
https://bitcoininfonews.com/183-million-crypto-liquidations-one-hour-longs-biggest-hit/,183-million-crypto-liquidations-one-hour-longs-biggest-hit,404,,,https://bitcoininfonews.com/183-million-crypto-liquidations-one-hour-long-positions/,0.667,0.667,0.545,0.850,keep_404,Closest winner still weak: https://bitcoininfonews.com/183-million-crypto-liquidations-one-hour-long-positions/
https://bitcoininfonews.com/193-million-crypto-liquidations-24-hours-shorts-squeezed,193-million-crypto-liquidations-24-hours-shorts-squeezed,404,,,https://bitcoininfonews.com/193-million-crypto-liquidations-24-hours-short-positions/,0.726,0.750,0.600,0.857,manual_review,"Likely match, but keep manual review because similarity is not strong enough."
https://bitcoininfonews.com/193-million-in-crypto-liquidations-hit-in-24-hours-as-shorts-get-squeezed/,193-million-in-crypto-liquidations-hit-in-24-hours-as-shorts-get-squeezed,404,,,https://bitcoininfonews.com/193-million-crypto-liquidations-24-hours-short-positions/,0.602,0.600,0.500,0.760,keep_404,Closest winner still weak: https://bitcoininfonews.com/193-million-crypto-liquidations-24-hours-short-positions/
https://bitcoininfonews.com/250m-asset-manager-on-morgan-stanley-bitcoin-etf-impact/,250m-asset-manager-on-morgan-stanley-bitcoin-etf-impact,404,,,https://bitcoininfonews.com/exclusive-250m-asset-manager-morgan-stanley-bitcoin-etf-impact/,0.944,1.000,0.889,0.889,301_now_high_confidence,Very close slug variant to current winner.
https://bitcoininfonews.com/3-token-unlocks-late-march-2026-zro-h-gunz-schedules/,3-token-unlocks-late-march-2026-zro-h-gunz-schedules,404,,,https://bitcoininfonews.com/token-unlocks-march-2026-zro-humanity-protocol-gunz/,0.586,0.600,0.500,0.680,keep_404,Closest winner still weak: https://bitcoininfonews.com/token-unlocks-march-2026-zro-humanity-protocol-gunz/
https://bitcoininfonews.com/3-token-unlocks-late-march-2026-zro-h-gunz/,3-token-unlocks-late-march-2026-zro-h-gunz,404,,,https://bitcoininfonews.com/token-unlocks-march-2026-zro-humanity-protocol-gunz/,0.648,0.667,0.545,0.753,keep_404,Closest winner still weak: https://bitcoininfonews.com/token-unlocks-march-2026-zro-humanity-protocol-gunz/
https://bitcoininfonews.com/341m-crypto-liquidations-hit-shorts-in-24-hours/,341m-crypto-liquidations-hit-shorts-in-24-hours,404,,,https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/,0.870,0.857,0.857,0.920,301_now_medium_confidence,Close enough to current winner for direct 301.
https://bitcoininfonews.com/631-million-crypto-contracts-liquidated-24-hours/,631-million-crypto-contracts-liquidated-24-hours,404,,,https://bitcoininfonews.com/631-million-crypto-liquidations-24-hours/,0.708,0.714,0.625,0.818,keep_404,Closest winner still weak: https://bitcoininfonews.com/631-million-crypto-liquidations-24-hours/
https://bitcoininfonews.com/631-million-in-crypto-contracts-liquidated-in-24-hours/,631-million-in-crypto-contracts-liquidated-in-24-hours,404,,,https://bitcoininfonews.com/631-million-crypto-liquidations-24-hours/,0.706,0.714,0.625,0.809,keep_404,Closest winner still weak: https://bitcoininfonews.com/631-million-crypto-liquidations-24-hours/
https://bitcoininfonews.com/73m-crypto-liquidations-hit-markets-24-hours-longs-absorb-losses/,73m-crypto-liquidations-hit-markets-24-hours-longs-absorb-losses,404,,,https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/,0.438,0.400,0.333,0.692,keep_404,Closest winner still weak: https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/
https://bitcoininfonews.com/73m-crypto-liquidations-hit-markets-24-hours/,73m-crypto-liquidations-hit-markets-24-hours,404,,,https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/,0.590,0.571,0.444,0.857,keep_404,Closest winner still weak: https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/
https://bitcoininfonews.com/73m-in-crypto-liquidations-hit-markets-in-24-hours-longs-absorb-most-losses/,73m-in-crypto-liquidations-hit-markets-in-24-hours-longs-absorb-most-losses,404,,,https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/,0.399,0.364,0.308,0.626,keep_404,Closest winner still weak: https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/
https://bitcoininfonews.com/?p=34903,p-34903,404,,,https://bitcoininfonews.com/s-p-500-recovers-5600-swing/,0.328,0.500,0.143,0.176,keep_404,Closest winner still weak: https://bitcoininfonews.com/s-p-500-recovers-5600-swing/
https://bitcoininfonews.com/?p=34937,p-34937,404,,,https://bitcoininfonews.com/s-p-500-recovers-5600-swing/,0.316,0.500,0.143,0.118,keep_404,Closest winner still weak: https://bitcoininfonews.com/s-p-500-recovers-5600-swing/
https://bitcoininfonews.com/aave-stablecoin-yields-beat-banks-trail-the-fed/,aave-stablecoin-yields-beat-banks-trail-the-fed,404,,,https://bitcoininfonews.com/aave-stablecoin-yields-beat-banks-trail-fed/,0.991,1.000,1.000,0.956,301_now_high_confidence,Very close slug variant to current winner.
https://bitcoininfonews.com/banque-syz-crypto-strategy-heir-departure/,banque-syz-crypto-strategy-heir-departure,404,,,https://bitcoininfonews.com/banque-syz-crypto-family-feud-heir-departure/,0.769,0.833,0.625,0.824,manual_review,"Likely match, but keep manual review because similarity is not strong enough."
https://bitcoininfonews.com/banque-syz-family-feud-over-crypto-strategy-ends-with-heirs-departure-to-start-own-firm/,banque-syz-family-feud-over-crypto-strategy-ends-with-heirs-departure-to-start-own-firm,404,,,https://bitcoininfonews.com/banque-syz-crypto-family-feud-heir-departure/,0.472,0.462,0.429,0.565,keep_404,Closest winner still weak: https://bitcoininfonews.com/banque-syz-crypto-family-feud-heir-departure/
https://bitcoininfonews.com/best-crypto-casinos-of-2026-spartans-stake-bitcasino-io-rollbit-redefine-online-gambling/,best-crypto-casinos-of-2026-spartans-stake-bitcasino-io-rollbit-redefine-online-gambling,404,,,https://bitcoininfonews.com/best-crypto-casinos-of-2026-spartans-stake-bitcasino-io-and-amp-rollbit-redefine-online-gambling/,0.968,1.000,0.923,0.957,301_now_high_confidence,Very close slug variant to current winner.
https://bitcoininfonews.com/binance-adds-spot-pairs-to-altcoin-liquidity-program/,binance-adds-spot-pairs-to-altcoin-liquidity-program,404,,,https://bitcoininfonews.com/binance-spot-altcoin-liquidity-enhancement-program-new-pairs-april-2026/,0.732,0.857,0.600,0.618,manual_review,"Likely match, but keep manual review because similarity is not strong enough."
https://bitcoininfonews.com/binance-alpha-airdrop-opens-today-240-points-minimum-required/,binance-alpha-airdrop-opens-today-240-points-minimum-required,404,,,https://bitcoininfonews.com/binance-alpha-airdrop-today-1800-240-points/,0.659,0.667,0.600,0.731,keep_404,Closest winner still weak: https://bitcoininfonews.com/binance-alpha-airdrop-today-1800-240-points/
https://bitcoininfonews.com/binance-alpha-airdrop-opens-today-240-points-minimum/,binance-alpha-airdrop-opens-today-240-points-minimum,404,,,https://bitcoininfonews.com/binance-alpha-airdrop-today-1800-240-points/,0.735,0.750,0.667,0.800,manual_review,"Likely match, but keep manual review because similarity is not strong enough."
https://bitcoininfonews.com/binance-alpha-airdrop-opens-today/,binance-alpha-airdrop-opens-today,404,,,https://bitcoininfonews.com/binance-alpha-airdrop-today-1800-240-points/,0.692,0.800,0.500,0.711,keep_404,Closest winner still weak: https://bitcoininfonews.com/binance-alpha-airdrop-today-1800-240-points/
