source URL,target URL
/arizona-governor-bitcoin-reserve-veto/,/arizona-bitcoin-reserve-bill-veto/
/arizona-governor-vetoes-bitcoin-bill-2/,/arizona-bitcoin-reserve-bill-veto/
/arizona-governor-vetoes-bitcoin-bill-3/,/arizona-bitcoin-reserve-bill-veto/
/arizona-governor-vetoes-bitcoin-bill/,/arizona-bitcoin-reserve-bill-veto/
/arizona-governor-vetoes-bitcoin-reserve-bill-2/,/arizona-bitcoin-reserve-bill-veto/
/ethereum-solana-staking-etf-filing/,/rex-shares-ethereum-solana-etfs/
/rex-ethereum-solana-staking-etfs-announcement/,/rex-ethereum-solana-staking-etfs/
/rex-shares-ethereum-solana-staking-etfs-2/,/rex-shares-ethereum-solana-etfs/
/rex-shares-ethereum-solana-staking-etfs/,/rex-ethereum-solana-staking-etfs/
/sec-approves-bitcoin-ethereum-etf-redemptions/,/sec-approves-in-kind-redemptions-etfs/
/sec-approves-in-kind-redemptions-bitcoin-ethereum-etfs/,/sec-approves-in-kind-redemptions-etfs/
