source_url,inlinks,recommended_action,target_url,notes
https://theccpress.com/what-is-cryptocurrency-beginners-guide/,88,done_301,https://theccpress.com/crypto-101/cryptocurrencies/,completed earlier
https://theccpress.com/go/bitcoincasino/,7,fix_internal_links_only,,internal promo links removed; do not 301
https://theccpress.com/u-s-pce-inflation-comes-in-at-3-8-why-markets-care/,5,done_301,https://theccpress.com/us-pce-inflation-comes-in-at-3-8/,completed earlier
https://theccpress.com/bitcoin-drops-powell-no-rate-cuts-march-2026-fomc/,4,pending_301,https://theccpress.com/bitcoin-drops-powell-no-rate-cuts-fomc-2026/,clear slug variant of same article
https://theccpress.com/bitcoin-etfs-saw-more-than-733m-in-outflows-on-may-27/,4,pending_301,https://theccpress.com/bitcoin-etfs-733-million-outflows-may-27/,clear slug variant of same article
https://theccpress.com/bitcoin-under-pressure-oil-prices-surge-us-israel-strikes-iran-energy-facilities/,4,pending_301,https://theccpress.com/bitcoin-price-pressure-oil-surge-us-israel-iran-energy-strike/,clear slug variant of same article
https://theccpress.com/us-spot-bitcoin-etfs-post-163-5m-in-outflows-ending-seven-day-inflow-streak/,4,pending_301,https://theccpress.com/us-spot-bitcoin-etf-outflows-163-million-seven-day-streak/,clear slug variant of same article
https://theccpress.com/average-usdc-across-coinbase-products-hit-19b-in-q1-2026/,3,pending_301,https://theccpress.com/average-usdc-held-across-coinbase-products-reached-19-billion-q1-2026/,clear slug variant of same article
https://theccpress.com/binance-to-end-nft-support-on-exchange-shift-service-to-wallet/,3,pending_301,https://theccpress.com/binance-shut-down-nft-support-exchange-move-service-wallet/,target now verifies live 200
https://theccpress.com/bitcoin-falls-below-66000-as-k33-warns-of-liquidity-drain/,3,pending_301,https://theccpress.com/bitcoin-falls-below-66000-k33-research-liquidity-drain/,clear slug variant of same article
https://theccpress.com/bitcoin-long-shows-5-88m-unrealized-profit-on-chain-analyst-says/,3,pending_301,https://theccpress.com/on-chain-analyst-trader-bitcoin-long-5-88m-unrealized-profit/,target now verifies live 200
https://theccpress.com/bitcoin-miner-canaan-reports-88-7m-q1-loss/,3,pending_301,https://theccpress.com/bitcoin-miner-canaan-reports-88-7-million-q1-loss/,clear slug variant of same article
https://theccpress.com/bitmine-buys-another-26497-eth-ethereum-holdings-top-5-4m-eth/,3,pending_301,https://theccpress.com/bitmine-buys-26497-eth-ethereum-holdings-above-5-4-million/,clear slug variant of same article
